English,Original,Seq2Seq,Attention
ekdaala,একডালা,একদালা,একডালা
neture,নেচার,নেট্রু,নেচার
zogina,যোগিনা,জোগিনা,যোগিনা
konistha,কনিষ্ঠা,কনিস্থা,কনিষ্ঠা
ssutkee,শুঁটকি,সুতটিকে,শুঁটকি
notpyaad,নোটপ্যাড,নপট্যাড,নোটপ্যাড
espinoza,এস্পিনোজা,এসপিনোজা,এস্পিনোজা
zooni,যোনী,জুনি,যোনী
otro,অত্র,ওট্রো,অত্র
bender,বেনদের,বেন্ডের,বেনদের
sachakita,সচকিত,সচাকিতা,সচকিত
ojante,অজান্তে,ওজন্তে,অজান্তে
sooreser,সুরেশের,সুরেসের,সুরেশের
prastutkarakra,প্রস্তুতকারকরা,প্রস্তুতকরকরা,প্রস্তুতকারকরা
kaamottejakatattw,কামোত্তেজকতত্ত্ব,কামত্যেজকাতত্ত্ব,কামোত্তেজকতত্ত্ব
infraconstruction,ইনফ্রাকন্সট্রাশন,ইনফ্রাক্রস্্্ক্নিয়ান,ইনফ্রাকন্সট্রাশন
aishalyandika,আইসল্যান্ডিক,ঐশীল্যদি্কা,আইসল্যান্ডিক
jayagaan,জয়গান,জয়াগান,জয়গান
colleaguedero,কলিগদেরও,কলিগাজেরও,কলিগদেরও
shocieti,সোসাইটি,শোসিটি,সোসাইটি
aisalyandika,আইসল্যান্ডিক,আশৈল্যান্ডিকা,আইসল্যান্ডিক
ekkosi,এককোষী,এককসি,এককোষী
msi,এমএসআই,এমএসএি,এমএসআই
mantragulote,মন্ত্রগুলোতে,মান্ত্রগুলোতে,মন্ত্রগুলোতে
basing,ওয়াশিং,বাসিং,ওয়াশিং
laan,লোন,লান,লোন
prostutkarakder,প্রস্তুতকারকদের,প্রস্তুতকরককের,প্রস্তুতকারকদের
mausumi,মৌসুমি,মৌসুমী,মৌসুমি
cathode,ক্যাথোড,ক্যাথোডেড,ক্যাথোড
chuqri,কুকরী,চুক্রি,কুকরী
nadirr,নদীর,নাদরির,নদীর
bosantapur,বসন্তপুর,বোসন্তপুর,বসন্তপুর
nabaabago,নবাবগো,নাবাবাগো,নবাবগো
bolteyi,বলতেই,বলটেই,বলতেই
prostutkaroker,প্রস্তুতকারকের,প্রস্তুতকারের,প্রস্তুতকারকের
saphalyao,সাফল্যও,সাফল্যাও,সাফল্যও
natureview,নাটুরেভিউ,নাতুরভিউ,নাটুরেভিউ
morrel,মোরেল,মররেল,মোরেল
jatgoolo,জাতগুলো,যাতগুলো,জাতগুলো
paiqa,পাইক,পাইকা,পাইক
elaakaasomuho,এলাকাসমূহ,এলাকাসসমূহ,এলাকাসমূহ
baanaabe,বানাবে,বানবে,বানাবে
jauhari,জৌহরি,জওহারি,জৌহরি
pratipad,প্রতিপদ,প্রতিপাদ,প্রতিপদ
boca,বোকা,বকা,বোকা
afreen,আফ্রীন,আফ্রিন,আফ্রীন
zuktaraajyabyaapee,যুক্তরাজ্যব্যাপী,যুক্তরর্যব্যবপী,যুক্তরাজ্যব্যাপী
bidyutkendragulote,বিদ্যুৎকেন্দ্রগুলোতে,বিদ্যুতকেন্দ্রগুলোতে,বিদ্যুৎকেন্দ্রগুলোতে
ileekashana,ইলেকশন,ইলিকশন,ইলেকশন
sundar,সুন্দার,সুন্দর,সুন্দার
magan,মাগন,মাগান,মাগন
bhanasaali,ভনসালি,ভনসাালি,ভনসালি
kolajeena,কোলাজেন,কোলাজিনা,কোলাজেন
developmenterao,ডেভেলপমেন্টেরও,ডেভলেপমেন্টেরা,ডেভেলপমেন্টেরও
wagh,ওয়াঘ,ওয়াগে,ওয়াঘ
rokomer,রকমের,রোমের,রকমের
indush,ইন্দাস,ইন্দুশ,ইন্দাস
kolingwood,কলিংউড,কলিংউউড,কলিংউড
braujare,ব্রাউজারে,ব্রৌজারে,ব্রাউজারে
bolten,বলতেন,বোল্টেন,বলতেন
novojaner,নভোযানের,নভজানের,নভোযানের
gables,গাব্লেস,গ্যাবলস,গাব্লেস
chalochchitre,চলচ্চিত্রে,চালোচ্চিত্রে,চলচ্চিত্রে
bosobaasroto,বসবাসরত,বসবাস্বরত,বসবাসরত
atitke,অতীতকে,অতিতকে,অতীতকে
ptalemy,টলেমি,প্যাটেলি,টলেমি
rashi,রশি,রাশি,রশি
antu,অন্তু,আন্টু,অন্তু
prakalpasamuho,প্রকল্পসমূহ,প্রকালপাসমূহ,প্রকল্পসমূহ
anant,অনন্ত,অনান্ট,অনন্ত
tangirala,টঙিরলা,তাঙ্গীরালা,টঙিরলা
seekkha,শিক্ষা,সিক্ষা,শিক্ষা
kkundo,কুন্ড,কুন্ডো,কুন্ড
etasab,এতসব,এতাসব,এতসব
electricals,ইলেকট্রিক্যালস,ইলেকট্রিক্যালসহ,ইলেকট্রিক্যালস
beelaphasta,বেলফাস্ট,বেলাফাস্তা,বেলফাস্ট
shikshaksaha,শিক্ষকসহ,শিক্ষসসহ,শিক্ষকসহ
juktorashtro,যুক্তরাষ্ট্র,যুক্তরার্ষ্র,যুক্তরাষ্ট্র
pubik,পিউবিক,পুবিক,পিউবিক
sharvar,সার্ভার,শারভার,সার্ভার
gatibeger,গতিবেগের,গাতিবেগের,গতিবেগের
ancholgulo,অঞ্চলগুলো,আঞ্চলগুলো,অঞ্চলগুলো
buckley,বুকলি,বাকলি,বুকলি
anand,অনন্দ,আনানদ,অনন্দ
advutbhabe,অদ্ভুতভাবে,আদ্ভুৎভাবে,অদ্ভুতভাবে
sclerasis,স্ক্লেরোসিস,স্ক্লেরাসিস,স্ক্লেরোসিস
corporatione,করপোরেশনে,কর্পোরেশনে,করপোরেশনে
khalashii,খালাসী,খালাশি,খালাসী
sheqond,সেকেন্ড,শেকন্ড,সেকেন্ড
baasastyandamukhee,বাসস্ট্যান্ডমুখী,বাসস্ত্যদ্্মমুখী,বাসস্ট্যান্ডমুখী
chhanu,ছানির,ছানু,ছানির
arthabachari,অর্থবছরই,অর্থবাচারী,অর্থবছরই
shikshako,শিক্ষকও,শিক্ষকো,শিক্ষকও
chhalichha,ছালিছ,ছালিছা,ছালিছ
acider,অ্যাসিডের,এসিডের,অ্যাসিডের
khajuraho,খাজুরাহো,খাজুরাহ,খাজুরাহো
vetarataa,ভেতরটা,ভেটারাটা,ভেতরটা
bibhrantikar,বিভ্রান্তিকর,বিভ্রান্তিকার,বিভ্রান্তিকর
bristol,ব্রিস্টল,ব্রিসটল,ব্রিস্টল
mohishy,মহিষী,মোহিষি,মহিষী
koraanapantheeder,কোরানপন্থীদের,করানপপাথীদের,কোরানপন্থীদের
injiniyara,ইঞ্জিনিয়ার,ইনজিনিয়ারা,ইঞ্জিনিয়ার
bhorke,ভরকে,ভররকে,ভরকে
kormokandoi,কর্মকাণ্ডই,কর্মকান্ডই,কর্মকাণ্ডই
dizit,ডিজিট,দিজিৎ,ডিজিট
shelphish,সেলফিস,শেলফিশ,সেলফিস
maggite,ম্যাগিতে,ম্যাজি,ম্যাগিতে
dokkhin,দক্ষিন,দক্ষিণ,দক্ষিন
porjotoko,পর্যটকও,পর্যটক,পর্যটকও
swalpata,স্বল্পতা,স্বলপাতা,স্বল্পতা
korme,কর্মে,করমে,কর্মে
aatmik,আত্মিক,আটমিক,আত্মিক
uthalpathal,উথালপাথাল,উঠালপালা,উথালপাথাল
fitnessbiheen,ফিটনেসবিহীন,ফিটনসেবিহীন,ফিটনেসবিহীন
bhugoler,ভূগোলের,ভূগলের,ভূগোলের
sarbajan,সর্বজন,সরবাজন,সর্বজন
haadichaachaa,হাড়িচাচা,হাডিচাচা,হাড়িচাচা
pokhher,পক্ষের,পোখের,পক্ষের
maasuddujjaamaan,মাসুদ্দুজ্জামান,মসসুদুদ্জজামান,মাসুদ্দুজ্জামান
governer,গভর্ণর,গভর্নের,গভর্ণর
dalmia,ডালমিয়া,ডালিময়া,ডালমিয়া
etodin,এতোদিন,এতদিন,এতোদিন
icelander,আইসল্যান্ডের,আইসেল্যান্ডের,আইসল্যান্ডের
kar,কার,করর,কার
agomon,আগমন,আ্যাগমন,আগমন
byabasthaapanaay,ব্যবস্থাপনায়,ব্যবস্থাপনয়,ব্যবস্থাপনায়
padunahswaadheenataa,পড়ুনঃস্বাধীনতা,পদুনঃস্বহননত,পড়ুনঃস্বাধীনতা
kosovo,কসোভো,কসভো,কসোভো
shashok,শাষক,শাসক,শাষক
porichhonno,পরিচ্ছন্ন,পরিচন্ন,পরিচ্ছন্ন
karmokandoi,কর্মকাণ্ডই,কর্মকণ্ডই,কর্মকাণ্ডই
shpell,স্পেল,শ্পেল,স্পেল
naitthak,নাইটথাক,নাইথকা,নাইটথাক
beerjobaan,বীর্যবান,বীরজববান,বীর্যবান
chetanaay,চেতনায়,চেতনয়,চেতনায়
gillette,জিলেট,গিলেটে,জিলেট
merechhen,মেরেছেন,মেরেছ্ছেন,মেরেছেন
pareekshaarthee,পরীক্ষার্থী,পরিক্ষার্থী,পরীক্ষার্থী
brake,ব্রেক,ব্রাকে,ব্রেক
jeelanir,জিলানীর,জিলানির,জিলানীর
pushka,পুষ্ক,পুশকা,পুষ্ক
bonapart,বোনাপার্ট,বনপার্ট,বোনাপার্ট
magana,মগ্ন,মাগানা,মগ্ন
shrenikoron,শ্রেণীকরণ,শ্রেণিকরণ,শ্রেণীকরণ
casey,কাসে,কেসে,কাসে
farmer,ফার্মের,ফার্মার,ফার্মের
janosomaabesh,জনসমাবেশ,জনসমাবশেষ,জনসমাবেশ
saleem,সালেম,সালিম,সালেম
bongobondhke,বঙ্গবন্ধুকে,বঙ্গবন্ধকে,বঙ্গবন্ধুকে
gyaraj,গ্যারাজ,জ্ঞারাজ,গ্যারাজ
raasoolullaah,রাসূলুল্লাহ্,রাসৌলুল্লাহ,রাসূলুল্লাহ্
khappore,খপ্পরে,খাপ্পোরে`````````````,খপ্পরে
sedikeow,সেদিকেও,সেদিকিও,সেদিকেও
uponeeshode,উপনিষদে,উপনীষদে,উপনিষদে
ganabidhwongsi,গণবিধ্বংসী,গণবিধ্বনসী,গণবিধ্বংসী
bateekrom,ব্যতিক্রম,বাতিক্রম,ব্যতিক্রম
yonii,যোনী,যয়নি,যোনী
shreshthatwabaadeeder,শ্রেষ্ঠত্ববাদীদের,শ্রেষ্ঠাত্বাবদের,শ্রেষ্ঠত্ববাদীদের
samashtir,সমষ্টির,সমস্টির,সমষ্টির
anannata,অনন্যতা,অনন্নত,অনন্যতা
torres,তোর্রেস,টররস,তোর্রেস
aujanta,অজন্তা,ওজন্টা,অজন্তা
vromoner,ভ্রমনের,ভ্রমণের,ভ্রমনের
shivpuri,শিবপুরি,শিবপুরী,শিবপুরি
kirtikey,কীর্তিকে,কীরটিকে,কীর্তিকে
ponjikaa,পঞ্জিকা,পোনজিকা,পঞ্জিকা
jonosonjoger,জনসংযোগের,জনসনযোগের,জনসংযোগের
deleon,দেলেওন,ডেলিওন,দেলেওন
staliner,স্টালিনের,স্ট্লাইনের,স্টালিনের
shommotee,সম্মতি,শম্মতি,সম্মতি
multimedia,মাল্টিমিডিয়া,মুল্টিমিডিয়া,মাল্টিমিডিয়া
theme,থিম,থামে,থিম
morales,মোরাল্স্,মোরালেস,মোরাল্স্
malayeeshiya,মালয়েশিয়া,মালয়েশীয়,মালয়েশিয়া
ehoramer,ইহরামের,এহরামের,ইহরামের
soorir,সুরির,সুরীর,সুরির
bhabnao,ভাবনাও,ভবনাও,ভাবনাও
varghese,ভরঘেসে,ভার্ঘেসে,ভরঘেসে
prince,প্রিন্স,প্রান্স,প্রিন্স
obheeneta,অভিনেতা,ওভিনেতা,অভিনেতা
hercules,হেরকুলেস,হার্কুলেস,হেরকুলেস
rakamer,রকমের,রাকামের,রকমের
bhasaaro,ভাষারও,ভাসারও,ভাষারও
botuta,বতুতা,বোুটা,বতুতা
raameli,রামেলি,রামেলী,রামেলি
avivaabakaraa,অভিভাবকরা,অভিভাবকারা,অভিভাবকরা
priyadarshi,প্রিয়দর্শী,প্রিয়াদশরী,প্রিয়দর্শী
chaangaa,চাঙ্গা,ছাঙ্গা,চাঙ্গা
jeelaneer,জিলানীর,জীলানীর,জিলানীর
thakteyi,থাকতেই,ঠাকতেই,থাকতেই
bhansali,ভানসালি,ভনসসালি,ভানসালি
monhpoota,মনঃপূত,মনহপুতা,মনঃপূত
fisa,ফিস,ফিসা,ফিস
such,সূঁচ,সুচ,সূঁচ
zuktipoornabhaabe,যুক্তিপূর্ণভাবে,যুক্তিপর্ণভাবে,যুক্তিপূর্ণভাবে
jalpaiguri,জলপাইগুরি,জলপাইগুুরি,জলপাইগুরি
railway,রেলওয়ে,রেইল্য়ে,রেলওয়ে
bente,বেঁটে,বেন্তে,বেঁটে
iizotop,আইসোটোপ,আইজোটপ,আইসোটোপ
ranakhetre,রণক্ষেত্রে,রণখেত্রে,রণক্ষেত্রে
enginiir,ইঞ্জিনিয়ার,ইঞ্জিনির,ইঞ্জিনিয়ার
vata,ভাতা,ভাটা,ভাতা
guntur,গুন্তুর,গুন্টুর,গুন্তুর
bayaane,বয়ানে,বায়ানে,বয়ানে
desabathula,দেসাবাথুলা,দেবাবথুলা,দেসাবাথুলা
durgey,দুর্গে,দূর্গে,দুর্গে
obhinetader,অভিনেতাদের,ওভিনেতাদের,অভিনেতাদের
ichchhemoto,ইচ্ছেমত,ইছ্ছিমত,ইচ্ছেমত
jarvis,জারভিস,জার্ভিস,জারভিস
jansanke,জনসনকে,জানসনকে,জনসনকে
virodhdhey,বিরোদ্ধে,বিরোধ্ধে,বিরোদ্ধে
averest,এভারেস্ট,অভেরেস্ট,এভারেস্ট
noble,নোবেল,নবল,নোবেল
biruddhaacharanakaareeder,বিরুদ্ধাচরণকারীদের,বিরুদ্ধচরাকররীয়ের,বিরুদ্ধাচরণকারীদের
beshirbhaager,বেশিরভাগের,বেশীরভাগের,বেশিরভাগের
artemis,আর্টেমিস,আরতেমিস,আর্টেমিস
samrater,সম্রাটের,সামরাতের,সম্রাটের
chaturvedi,চতুরবেদী,চতুর্েেদি,চতুরবেদী
doie,দৈ,ডয়ে,দৈ
taki,তাকি,টাকি,তাকি
nirosh,নিরস,নিরোষ,নিরস
shakkhat,সাক্ষাৎ,শাক্ষতত,সাক্ষাৎ
taaki,তাকি,টাকি,তাকি
plateti,প্লেটটি,প্লাটেটি,প্লেটটি
taayaalaar,তায়ালার,টায়ালার,তায়ালার
oshlilotar,অশ্লীলতার,অশ্লিলতার,অশ্লীলতার
beeramuktiyuddha,বীরমুক্তিযুদ্ধ,বেমরামুক্তিদ্ধ,বীরমুক্তিযুদ্ধ
banaparte,বোনাপার্ট,বানাপার্টে,বোনাপার্ট
koncheer,কঞ্চির,কনচির,কঞ্চির
onlee,ওনলি,অনলি,ওনলি
sahinsatake,সহিংসতাকে,সহিনস্তাকে,সহিংসতাকে
quraishi,কোরেশী,কুরাইশি,কোরেশী
shikkhaabyabasthaatike,শিক্ষাব্যবস্থাটিকে,শিক্ষাব্যস্থাটটিকে,শিক্ষাব্যবস্থাটিকে
titler,টাইটেলের,টিটলারের,টাইটেলের
rodrigej,রদ্রিগেজ,রড্রিজেজ,রদ্রিগেজ
bivrat,বিভ্রাট,বিভ্রাত,বিভ্রাট
haute,হাউতে,হাউটে,হাউতে
indraprastha,ইন্দ্রপ্রস্থ,ইন্দ্রপ্রস্থা,ইন্দ্রপ্রস্থ
dip,দ্বীপ,ডিপ,দ্বীপ
thakteo,থাকতেও,ঠাকতেও,থাকতেও
rampur,রম্পুর,রামপুর,রম্পুর
viveker,বিবেকের,ভিভেকের,বিবেকের
durbasa,দুর্বাসা,দুরবাসা,দুর্বাসা
banduker,বন্দুকের,বন্ডুকের,বন্দুকের
kiran,কিরান,কিরন,কিরান
janajaag,জনজাগ,জানাজাগ,জনজাগ
gomveera,গম্ভীরা,গমভীরা,গম্ভীরা
aaphsaarii,আফসারী,আফসারি,আফসারী
tre,ট্রে,ত্রে,ট্রে
sabhaashaleeta,সভাস্হলীত,সভাশলীত,সভাস্হলীত
samataler,সমতলের,সামাতলের,সমতলের
smarokgrantha,স্মারকগ্রন্থ,স্মরকগ্রা্্যা,স্মারকগ্রন্থ
cheitanyamekang,চৈতন্যমেকং,চেইনাত্মেকাং,চৈতন্যমেকং
barancho,বরঞ্চ,বারাঁ্চ,বরঞ্চ
quartergulote,কোয়ার্টারগুলোতে,কার্টারগুলোতে,কোয়ার্টারগুলোতে
breaqing,ব্রেকিং,ব্রিকিং,ব্রেকিং
south,সাউথ,সৌথ,সাউথ
shalim,সালিম,শালিম,সালিম
lasta,লাস্ট,লাস্টা,লাস্ট
avidhaan,অভিধান,অবিধান,অভিধান
yoni,যোনী,য়নি,যোনী
dokaankey,দোকানকে,ডোকানকে,দোকানকে
monjoorer,মঞ্জুরের,মঞ্জরের,মঞ্জুরের
somonnito,সমন্বিত,সমন্নিত,সমন্বিত
apakarm,অপকর্ম,অপকার্ম,অপকর্ম
ouddhotter,ঔদ্ধত্যের,ঔদ্ধত্বের,ঔদ্ধত্যের
proteestha,প্রতিষ্ঠা,প্রতিস্থা,প্রতিষ্ঠা
guineatey,গিনিতে,গুইনিটে,গিনিতে
chyetim,চ্যাটিং,চ্যেটিং,চ্যাটিং
jodhpur,যোধপুর,যোধপুরের,যোধপুর
shomomona,সমমনা,শমমোনা,সমমনা
qanabharsana,কনভার্সন,কানাভর্সন,কনভার্সন
teja,তেজ,তেজা,তেজ
sivasagar,শিবসাগর,শিবাসগর,শিবসাগর
styrolution,স্টিরোলুশন,স্টারোলিশন,স্টিরোলুশন
soocieti,সোসাইটি,সুসিটি,সোসাইটি
netrojena,নাইট্রোজেন,নেত্রোজেনা,নাইট্রোজেন
yanam,য়নম,যানাম,য়নম
phalls,ফলস,ফালস,ফলস
othano,ওঠানো,অঠানো,ওঠানো
abhizuktake,অভিযুক্তকে,অভিযুক্তাকে,অভিযুক্তকে
demockratic,ডেমোক্র্যাটিক,ডেমকর্টিক,ডেমোক্র্যাটিক
graham,গ্রহম,গ্রহহ,গ্রহম
shivastava,শিবস্তব,শিবস্তত,শিবস্তব
hajareebag,হাজারীবাগ,হাজরিবাগ,হাজারীবাগ
nadnadi,নদনদী,নদনাদি,নদনদী
ahijake,অহিযকে,আহিজাকে,অহিযকে
fuentes,ফুয়েন্টেস,ফিউন্টেস,ফুয়েন্টেস
jonosomabesh,জনসমাবেশ,জনসমাবশেষ,জনসমাবেশ
raj,রাজ,রজ,রাজ
shikshakera,শিক্ষকেরা,শিক্সকেরা,শিক্ষকেরা
tinso,তিনশ,তিনসো,তিনশ
wells,ওয়েলস,ওয়েল্স,ওয়েলস
stein,স্টেইন,স্টিইন,স্টেইন
gangtok,গ্যাংটোক,গ্যাংটক,গ্যাংটোক
ps,পিএস,পিএসএ,পিএস
lohaanii,লোহানী,লোহানি,লোহানী
sibdash,শিবদাস,সিবদাশ,শিবদাস
doohate,দুহাতে,দৌহাতে,দুহাতে
mukhyamant,মুখ্যমন্ত্,মুখ্যমন্ত,মুখ্যমন্ত্
ratnagiri,রত্নাগিরি,রত্নগিরি,রত্নাগিরি
orijinal,অরিজিনাল,ওরিজিনাল,অরিজিনাল
saarkaase,সার্কাসে,সারকাসে,সার্কাসে
rockomer,রকমের,রককামের,রকমের
louis,লুইস,লুউস,লুইস
ginir,গিনির,জিনির,গিনির
ghurapaak,ঘুরপাক,ঘুরাপাক,ঘুরপাক
bishwabidyaalaye,বিশ্ববিদ্যাালয়ে,বিশ্ববিদ্যালয়ে,বিশ্ববিদ্যাালয়ে
moreno,মোরেনো,মরেনো,মোরেনো
vager,ভাগের,ভ্যাগার,ভাগের
seekkhoker,শিক্ষকের,সীক্ষকের,শিক্ষকের
janglee,জংলী,জাঙ্গলি,জংলী
shillong,শিলং,শিল্লং,শিলং
uvachar,উভচর,উভাচার,উভচর
arthabacharai,অর্থবছরই,অর্থবচররাই,অর্থবছরই
uchchataay,উচ্চতায়,উচ্ছতায়,উচ্চতায়
duar,দুয়ার,ডুয়ার,দুয়ার
satarkotamulok,সতর্কতামূলক,সাতর্কতামূলক,সতর্কতামূলক
vutude,ভুতুড়ে,ভুটুডে,ভুতুড়ে
nathdwara,নাথদ্বারা,নথ্ডবারা,নাথদ্বারা
akkhargulo,অক্ষরগুলো,আক্ষরগুলো,অক্ষরগুলো
phirishtaara,ফিরিশতারা,ফিরিস্টার,ফিরিশতারা
chandernagore,চান্দের্নাগোরে,চন্দেরনগরে,চান্দের্নাগোরে
prashangsaneeya,প্রশংসনীয়,প্রশাসংীয়,প্রশংসনীয়
kushalappa,কুশালাপ্পা,কুশলপাপ্পা,কুশালাপ্পা
dweepti,দ্বীপটি,দ্বীপ্তি,দ্বীপটি
sanghi,সানঘি,সঙ্গি,সানঘি
aachaarjao,আচার্যও,আচার্যাও,আচার্যও
malviya,মলভিয়া,মালভিয়া,মলভিয়া
arigin,অরিজিন,আরিজিন,অরিজিন
bhroongulike,ভ্রূণগুলিকে,ভ্রণগুলিকে,ভ্রূণগুলিকে
dalton,দালতন,ডাল্টন,দালতন
poorohit,পুরোহিত,পরহহিত,পুরোহিত
piret,পিরেত,পিরেট,পিরেত
livermore,লিভারমোর,লিভার্মোর,লিভারমোর
evanston,এভানস্টোন,এভান্স্টন,এভানস্টোন
taamaasha,তামাশা,টমশা,তামাশা
goona,গোনা,গুনো,গোনা
bangoposagarer,বঙ্গোপসাগরের,বঙ্গোসসাগরের,বঙ্গোপসাগরের
parenni,পারেননি,পারেন্নি,পারেননি
parikalpanakaareeder,পরিকল্পনকারীদের,পরীকল্পনাকরীদের,পরিকল্পনকারীদের
officergan,অফিসারগণ,অফিসার্গন,অফিসারগণ
temone,তেমনে,টেমনে,তেমনে
maatriganake,মাতৃগণকে,মাতৃগণগাকে,মাতৃগণকে
taateyi,তাতেই,তাতে,তাতেই
diut,ডিউট,ডাউট,ডিউট
aligali,অলিগলি,আলিগালি,অলিগলি
moli,মলি,মোলি,মলি
ksamatadhor,ক্ষমতাধর,ক্ষমতারধধর,ক্ষমতাধর
amreli,এমরেলি,আমরেলী,এমরেলি
nootapyada,নোটপ্যাড,নোটাপ্যাড়া,নোটপ্যাড
chalachchitratite,চলচ্চিত্রটিতে,চলচ্চিত্রাটিতে,চলচ্চিত্রটিতে
kansas,ক্যানসাস,কানসাস,ক্যানসাস
usake,উসকে,উসাকে,উসকে
parlara,পার্লার,পারলারা,পার্লার
sthaponayi,স্থাপনাই,স্থাপনায়ী,স্থাপনাই
destrayer,ডেস্ট্রয়ার,ডেস্ট্রায়ের,ডেস্ট্রয়ার
pio,পিও,পিওও,পিও
biswajude,বিশ্বজুড়ে,বিস্বজুদে,বিশ্বজুড়ে
sarakaaradaleey,সরকারদলীয়,সরকারাদলী,সরকারদলীয়
